Référence	ContexteGauche	Pivot	ContexteDroit
TXM_etude_des_moeurs	procès criminel. XX HORRIBLE PERIPETIE A cinq	heures du matin	, le lendemain de la plaidoirie de M. de Grandville,
TXM_etude_des_moeurs	, dit le premier ministre, vers trois	heures du matin	, au moment où le jour faisait pâlir les bougies, deux
TXM_etude_des_moeurs	rentrèrent au salon. Il était alors quatre	heures du matin	. Fouché partit le premier. Voici ce que fit, avec
TXM_etude_des_moeurs	un des personnages qui écoutaient, à trois	heures du matin	, tire sa montre, interrompt le jeu et demande tout à
TXM_etude_des_moeurs	promis de se lever entre deux et trois	heures du matin	pour voir les fenêtres du cabinet d'Albert. Quand cette heure
TXM_etude_des_moeurs	me consulter que de six heures à huit	heures du matin	, je me couche après mon dîner, et je travaille pendant
TXM_etude_des_moeurs	vous voulez, ses prétentions. Vers deux	heures du matin	, au moment où le souper finissait, il ne se trouva
TXM_etude_des_moeurs	la duchesse, s'étant réveillée vers quatre	heures du matin	, me fit, de la manière la plus touchante et en
TXM_etude_des_moeurs	où, en venant aux Touches à sept	heures du matin	, il aperçut entre deux ajoncs, à une fenêtre, Béatrix
TXM_etude_des_moeurs	Monsieur dîne ici. Calyste rentra vers deux	heures du matin	à son hôtel. Après avoir attendu jusqu'à minuit et demi
TXM_etude_des_moeurs	La conversation ainsi commencée alla jusqu'à deux	heures du matin	sans que Calyste, dont la rage fut sans cesse refoulée par
TXM_etude_des_moeurs	de venir pendant la soirée. A deux	heures du matin	, madame de Listomère, qui n'était restée que pour accabler
TXM_etude_des_moeurs	le comte et moi, jusqu'à deux	heures du matin	à nous promener le long des fossés de la Bastille, comme
TXM_etude_des_moeurs	il serait entré chez ses voisines dès six	heures du matin	, en arrivant à son atelier. Il eut cependant encore assez
TXM_etude_des_moeurs	les équipages s'en aller sur les deux	heures du matin	, la comtesse n'a eu qu'une fantaisie ou une curiosité
TXM_etude_des_moeurs	heures du soir à deux et souvent trois	heures du matin	. Elle mange peu pour attirer le regard sur une taille fine
TXM_etude_des_moeurs	mardi-gras de l'année 1838, à quatre	heures du matin	, la comtesse, enveloppée d'un domino noir et assise sur
TXM_etude_des_moeurs	bal masqué de l'Opéra. Vers trois	heures du matin	, entraînée par l'ivresse du bal, Clémentine, pour qui
TXM_etude_des_moeurs	gardait le sort. Vers deux ou trois	heures du matin	, Julie était sur son séant, sombre et rêveuse, dans
TXM_etude_des_moeurs	râlements du chien semblaient venir. A sept	heures du matin	, les recherches de la gendarmerie, du général, de ses
TXM_etude_des_moeurs	où nous sommes. --Mais il est deux	heures du matin	, et l'histoire de Rosine nous a préparées, dit la
TXM_etude_des_moeurs	attribués à la démence. Sur les huit	heures du matin	, le lendemain, madame Guillaume surprit sa fille pâle, les
TXM_etude_des_moeurs	son maître entrant dans l’église vers neuf	heures du matin	. Desplein, qui ne faisait jamais alors un pas sans son
TXM_etude_des_moeurs	des Porta. Nous sommes arrivés à cinq	heures du matin	, à sept ils étaient tous devant Dieu. Giacomo prétend qu'
TXM_etude_des_moeurs	que le pauvre garçon se levait à cinq	heures du matin	, et allait expédier ses affaires afin de pouvoir se trouver à
TXM_etude_des_moeurs	autre pour eux -mêmes. Vers les deux	heures du matin	, l'on servit un ambigu dans une immense galerie où,
TXM_etude_des_moeurs	à ses clients qu’entre deux et trois	heures du matin	: nous verrons s’il viendra, le vieux malfaiteur ! Et
TXM_etude_des_moeurs	. Il pouvait être de huit à neuf	heures du matin	. L’Étude avait pour tout ornement ces grandes affiches jaunes qui
TXM_etude_des_moeurs	son lustre au moment où, vers sept	heures du matin	, le chat de madame Vauquer précède sa maîtresse ; saute sur
TXM_etude_des_moeurs	qui a dû rentrer du bal à deux	heures du matin	, n’est -ce pas singulier ! Il n’y a que
TXM_etude_des_moeurs	Un soir j’ai attendu jusqu’à trois	heures du matin	pour voir Nasie, que je n’avais pas vue depuis deux
TXM_etude_des_moeurs	monde. Il rentrait à trois ou quatre	heures du matin	, se levait à midi pour faire sa toilette, allait se
TXM_etude_des_moeurs	ni Paris ni le monde. À cinq	heures du matin	, je vais partir pour aller m’ensevelir au fond de la
TXM_etude_des_moeurs	la mort de son père. Vers quatre	heures du matin	, la foule des salons commençait à s’éclaircir. Bientôt la
TXM_etude_des_moeurs	--A demain, me dit -elle vers deux	heures du matin	, quand elle sortit du bal. --Je n’irai pas,
TXM_etude_des_moeurs	souvent à boire que, vers les trois	heures du matin	, sans être complétement ivre, Sarrasine se trouva sans force contre
TXM_etude_des_moeurs	le célèbre docteur se dirigea, dès sept	heures du matin	, vers la rue du Fouarre où demeurait monsieur Jean-Jules Popinot,
TXM_etude_des_moeurs	travaillait au Palais. De quatre à sept	heures du matin	en été, de six à neuf heures en hiver, cette
TXM_etude_des_moeurs	chez lui. Le lendemain, vers dix	heures du matin	, Popinot, qui la veille avait rédigé son rapport, s’
TXM_etude_des_moeurs	soirs de neuf heures à deux ou trois	heures du matin	, pour vous faire faire tant de frais et supporter tant de
TXM_etude_des_moeurs	; car depuis quatre heures jusqu'à deux	heures du matin	, j'appartiens à Paris. Macumer est un admirable maître de
TXM_etude_des_moeurs	la nuit. Je viens, à sept	heures du matin	, de la lever moi -même ; elle a retrouvé quelque force
TXM_etude_des_moeurs	et demie, et se levait à cinq	heures du matin	. Enfin, sûr de la discrétion de Latournelle et de Butscha
TXM_etude_des_moeurs	diligences Touchard. Il était plus de huit	heures du matin	. Sous l'énorme porche, au-dessus duquel se lit sur un
TXM_etude_des_moeurs	l'écurie de tenir prête, à sept	heures du matin	, la voiture à la Daumont, pour aller à Presles ;
TXM_etude_des_moeurs	continuel. Le comte se levait dès quatre	heures du matin	en toute saison, travaillait jusqu'à midi, vaquait à ses
TXM_etude_des_moeurs	à celle d'un moine. A cinq	heures du matin	, en tout temps, Godeschal s'éveillait. Il descendait avec
TXM_etude_des_moeurs	déjeuner qui n'a fini qu'à sept	heures du matin	. » C'était miraculeusement écrit. Un expert eût juré que
TXM_etude_des_moeurs	de la veine. Aussi, vers trois	heures du matin	, après des retours de fortune et des gains inespérés, en
TXM_etude_des_moeurs	dormait du plus profond sommeil. Vers onze	heures du matin	, une voix terrible éveilla le clerc qui, reconnaissant son oncle
TXM_etude_des_moeurs	à sa boutonnière, stationnait, à huit	heures du matin	, au mois de mai, sous la porte cochère de l'
TXM_etude_des_moeurs	d'environ vingt-six ans, descendait vers trois	heures du matin	le grand escalier de l'hôtel où demeurait l'Archi-Chancelier de l'
TXM_etude_des_moeurs	sous quelque despotisme inconnu. Arrivé dès sept	heures du matin	au bureau des Messageries de la rue Notre-Dame-des-Victoires, le jeune avocat
TXM_etude_des_moeurs	retracés dans cette histoire. Sur les huit	heures du matin	, une femme de chambre, assez semblable à une religieuse,
TXM_etude_des_moeurs	à donner ? Couchée à une ou deux	heures du matin	, elle doit se lever assez matinalement pour repasser ses rôles,
TXM_etude_des_moeurs	quittant le monde entre une heure et deux	heures du matin	, il revenait travailler jusqu'à huit ou neuf heures, il
